state,action,reward,next_state,policy_id
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1023,3,-0.01,1024,0
1024,3,-0.01,1025,0
1025,3,-0.01,1026,0
1026,3,-0.01,1027,0
1027,3,-0.01,1028,0
1028,3,-0.01,1029,0
1029,3,-0.01,1030,0
1030,1,-0.01,1070,0
1070,1,-0.01,1110,0
1110,1,-0.01,1150,0
1150,1,-0.01,1190,0
1190,1,-0.01,1230,0
1230,1,-0.01,1270,0
1270,1,-0.01,1310,0
1310,1,-0.01,1350,0
1350,3,-0.01,1351,0
1351,3,-0.01,1352,0
1352,3,-0.01,1353,0
1353,3,-0.01,1354,0
1354,3,-0.01,1355,0
1355,3,-0.01,1356,0
1356,1,-0.01,1396,0
1396,1,-0.01,1436,0
1436,1,-0.01,1476,0
1476,1,-0.01,1516,0
1516,1,-0.01,1556,0
1556,1,-0.01,1596,0
1596,3,-0.01,1597,0
1597,3,-0.01,1598,0
1598,3,-0.01,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
40,1,-0.01,80,0
80,1,-0.01,120,0
120,1,-0.01,160,0
160,1,-0.01,200,0
200,1,-0.01,240,0
240,1,-0.01,280,0
280,1,-0.01,320,0
320,1,-0.01,360,0
360,3,-0.01,361,0
361,3,-0.01,362,0
362,3,-0.01,363,0
363,3,-0.01,364,0
364,3,-0.01,365,0
365,3,-0.01,366,0
366,3,-0.01,367,0
367,3,-0.01,368,0
368,1,-0.01,408,0
408,1,-0.01,448,0
448,1,-0.01,488,0
488,1,-0.01,528,0
528,1,-0.01,568,0
568,1,-0.01,608,0
608,1,-0.01,648,0
648,1,-0.01,688,0
688,3,-0.01,689,0
689,3,-0.01,690,0
690,3,-0.01,691,0
691,3,-0.01,692,0
692,3,-0.01,693,0
693,3,-0.01,694,0
694,3,-0.01,695,0
695,3,-0.01,696,0
696,3,-0.01,697,0
697,3,-0.01,698,0
698,3,-0.01,699,0
699,3,-0.01,700,0
700,1,-0.01,740,0
740,1,-0.01,780,0
780,1,-0.01,820,0
820,1,-0.01,860,0
860,1,-0.01,900,0
900,1,-0.01,940,0
940,1,-0.01,980,0
980,1,-0.01,1020,0
1020,3,-0.01,1021,0
1021,3,-0.01,1022,0
1022,3,-0.01,1023,0
1023,3,-0.01,1024,0
1024,3,-0.01,1025,0
1025,3,-0.01,1026,0
1026,3,-0.01,1027,0
1027,3,-0.01,1028,0
1028,3,-0.01,1029,0
1029,3,-0.01,1030,0
1030,1,-0.01,1070,0
1070,1,-0.01,1110,0
1110,1,-0.01,1150,0
1150,1,-0.01,1190,0
1190,1,-0.01,1230,0
1230,1,-0.01,1270,0
1270,1,-0.01,1310,0
1310,1,-0.01,1350,0
1350,3,-0.01,1351,0
1351,3,-0.01,1352,0
1352,3,-0.01,1353,0
1353,3,-0.01,1354,0
1354,3,-0.01,1355,0
1355,3,-0.01,1356,0
1356,1,-0.01,1396,0
1396,1,-0.01,1436,0
1436,1,-0.01,1476,0
1476,1,-0.01,1516,0
1516,1,-0.01,1556,0
1556,1,-0.01,1596,0
1596,3,-0.01,1597,0
1597,3,-0.01,1598,0
1598,3,-0.01,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1556,1,-0.01,1596,0
1596,3,-0.01,1597,0
1597,3,-0.01,1598,0
1598,3,-0.01,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1190,1,-0.01,1230,0
1230,1,-0.01,1270,0
1270,1,-0.01,1310,0
1310,1,-0.01,1350,0
1350,3,-0.01,1351,0
1351,3,-0.01,1352,0
1352,3,-0.01,1353,0
1353,3,-0.01,1354,0
1354,3,-0.01,1355,0
1355,3,-0.01,1356,0
1356,1,-0.01,1396,0
1396,1,-0.01,1436,0
1436,1,-0.01,1476,0
1476,1,-0.01,1516,0
1516,1,-0.01,1556,0
1556,1,-0.01,1596,0
1596,3,-0.01,1597,0
1597,3,-0.01,1598,0
1598,3,-0.01,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
363,3,-0.01,364,0
364,3,-0.01,365,0
365,3,-0.01,366,0
366,3,-0.01,367,0
367,3,-0.01,368,0
368,1,-0.01,408,0
408,1,-0.01,448,0
448,1,-0.01,488,0
488,1,-0.01,528,0
528,1,-0.01,568,0
568,1,-0.01,608,0
608,1,-0.01,648,0
648,1,-0.01,688,0
688,3,-0.01,689,0
689,3,-0.01,690,0
690,3,-0.01,691,0
691,3,-0.01,692,0
692,3,-0.01,693,0
693,3,-0.01,694,0
694,3,-0.01,695,0
695,3,-0.01,696,0
696,3,-0.01,697,0
697,3,-0.01,698,0
698,3,-0.01,699,0
699,3,-0.01,700,0
700,1,-0.01,740,0
740,1,-0.01,780,0
780,1,-0.01,820,0
820,1,-0.01,860,0
860,1,-0.01,900,0
900,1,-0.01,940,0
940,1,-0.01,980,0
980,1,-0.01,1020,0
1020,3,-0.01,1021,0
1021,3,-0.01,1022,0
1022,3,-0.01,1023,0
1023,3,-0.01,1024,0
1024,3,-0.01,1025,0
1025,3,-0.01,1026,0
1026,3,-0.01,1027,0
1027,3,-0.01,1028,0
1028,3,-0.01,1029,0
1029,3,-0.01,1030,0
1030,1,-0.01,1070,0
1070,1,-0.01,1110,0
1110,1,-0.01,1150,0
1150,1,-0.01,1190,0
1190,1,-0.01,1230,0
1230,1,-0.01,1270,0
1270,1,-0.01,1310,0
1310,1,-0.01,1350,0
1350,3,-0.01,1351,0
1351,3,-0.01,1352,0
1352,3,-0.01,1353,0
1353,3,-0.01,1354,0
1354,3,-0.01,1355,0
1355,3,-0.01,1356,0
1356,1,-0.01,1396,0
1396,1,-0.01,1436,0
1436,1,-0.01,1476,0
1476,1,-0.01,1516,0
1516,1,-0.01,1556,0
1556,1,-0.01,1596,0
1596,3,-0.01,1597,0
1597,3,-0.01,1598,0
1598,3,-0.01,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
361,3,-0.01,362,0
362,3,-0.01,363,0
363,3,-0.01,364,0
364,3,-0.01,365,0
365,3,-0.01,366,0
366,3,-0.01,367,0
367,3,-0.01,368,0
368,1,-0.01,408,0
408,1,-0.01,448,0
448,1,-0.01,488,0
488,1,-0.01,528,0
528,1,-0.01,568,0
568,1,-0.01,608,0
608,1,-0.01,648,0
648,1,-0.01,688,0
688,3,-0.01,689,0
689,3,-0.01,690,0
690,3,-0.01,691,0
691,3,-0.01,692,0
692,3,-0.01,693,0
693,3,-0.01,694,0
694,3,-0.01,695,0
695,3,-0.01,696,0
696,3,-0.01,697,0
697,3,-0.01,698,0
698,3,-0.01,699,0
699,3,-0.01,700,0
700,1,-0.01,740,0
740,1,-0.01,780,0
780,1,-0.01,820,0
820,1,-0.01,860,0
860,1,-0.01,900,0
900,1,-0.01,940,0
940,1,-0.01,980,0
980,1,-0.01,1020,0
1020,3,-0.01,1021,0
1021,3,-0.01,1022,0
1022,3,-0.01,1023,0
1023,3,-0.01,1024,0
1024,3,-0.01,1025,0
1025,3,-0.01,1026,0
1026,3,-0.01,1027,0
1027,3,-0.01,1028,0
1028,3,-0.01,1029,0
1029,3,-0.01,1030,0
1030,1,-0.01,1070,0
1070,1,-0.01,1110,0
1110,1,-0.01,1150,0
1150,1,-0.01,1190,0
1190,1,-0.01,1230,0
1230,1,-0.01,1270,0
1270,1,-0.01,1310,0
1310,1,-0.01,1350,0
1350,3,-0.01,1351,0
1351,3,-0.01,1352,0
1352,3,-0.01,1353,0
1353,3,-0.01,1354,0
1354,3,-0.01,1355,0
1355,3,-0.01,1356,0
1356,1,-0.01,1396,0
1396,1,-0.01,1436,0
1436,1,-0.01,1476,0
1476,1,-0.01,1516,0
1516,1,-0.01,1556,0
1556,1,-0.01,1596,0
1596,3,-0.01,1597,0
1597,3,-0.01,1598,0
1598,3,-0.01,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
361,3,-0.01,362,1
362,3,-0.01,363,1
363,3,-0.01,364,1
364,3,-0.01,365,1
365,3,-0.01,366,1
366,3,-0.01,367,1
367,3,-0.01,368,1
368,1,-0.01,408,1
408,1,-0.01,448,1
448,1,-0.01,488,1
488,1,-0.01,528,1
528,1,-0.01,568,1
568,1,-0.01,608,1
608,1,-0.01,648,1
648,1,-0.01,688,1
688,3,-0.01,689,1
689,3,-0.01,690,1
690,3,-0.01,691,1
691,3,-0.01,692,1
692,3,-0.01,693,1
693,3,-0.01,694,1
694,3,-0.01,695,1
695,3,-0.01,696,1
696,3,-0.01,697,1
697,3,-0.01,698,1
698,3,-0.01,699,1
699,3,-0.01,700,1
700,1,-0.01,740,1
740,1,-0.01,780,1
780,1,-0.01,820,1
820,1,-0.01,860,1
860,1,-0.01,900,1
900,1,-0.01,940,1
940,1,-0.01,980,1
980,1,-0.01,1020,1
1020,3,-0.01,1021,1
1021,3,-0.01,1022,1
1022,3,-0.01,1023,1
1023,3,-0.01,1024,1
1024,3,-0.01,1025,1
1025,3,-0.01,1026,1
1026,3,-0.01,1027,1
1027,3,-0.01,1028,1
1028,3,-0.01,1029,1
1029,3,-0.01,1030,1
1030,1,-0.01,1070,1
1070,1,-0.01,1110,1
1110,1,-0.01,1150,1
1150,1,-0.01,1190,1
1190,1,-0.01,1230,1
1230,1,-0.01,1270,1
1270,1,-0.01,1310,1
1310,3,-0.01,1311,1
1311,3,-0.01,1312,1
1312,3,-0.01,1313,1
1313,3,-0.01,1314,1
1314,3,-0.01,1315,1
1315,3,-0.01,1316,1
1316,3,-0.01,1317,1
1317,1,-0.01,1357,1
1357,1,-0.01,1397,1
1397,1,-0.01,1437,1
1437,1,-0.01,1477,1
1477,1,-0.01,1517,1
1517,1,-0.01,1557,1
1557,3,-0.01,1558,1
1558,3,-0.01,1559,1
1559,1,-0.01,1599,1
1599,3,10.0,1599,1
1599,1,10.0,1599,1
1599,2,10.0,1599,1
1599,3,10.0,1599,1
1599,2,10.0,1599,1
1599,0,10.0,1599,1
1599,2,10.0,1599,1
1599,3,10.0,1599,1
1599,1,10.0,1599,1
1599,3,10.0,1599,1
1599,2,10.0,1599,1
1599,1,10.0,1599,1
1599,2,10.0,1599,1
1599,3,10.0,1599,1
1599,2,10.0,1599,1
1599,1,10.0,1599,1
1599,3,10.0,1599,1
1599,0,10.0,1599,1
1599,2,10.0,1599,1
1599,0,10.0,1599,1
1599,3,10.0,1599,1
1599,3,10.0,1599,1
1599,1,10.0,1599,1
1599,1,10.0,1599,1
1599,1,10.0,1599,1
1599,3,10.0,1599,1
1599,0,10.0,1599,1
1599,2,10.0,1599,1
1599,1,10.0,1599,1
1599,2,10.0,1599,1
1599,0,10.0,1599,1
1599,3,10.0,1599,1
1599,3,10.0,1599,1
1599,2,10.0,1599,1
1599,1,10.0,1599,1
1599,3,10.0,1599,1
1599,3,10.0,1599,1
1599,2,10.0,1599,1
1599,2,10.0,1599,1
1599,2,10.0,1599,1
368,1,-0.01,408,0
408,1,-0.01,448,0
448,1,-0.01,488,0
488,1,-0.01,528,0
528,1,-0.01,568,0
568,1,-0.01,608,0
608,1,-0.01,648,0
648,1,-0.01,688,0
688,3,-0.01,689,0
689,3,-0.01,690,0
690,3,-0.01,691,0
691,3,-0.01,692,0
692,3,-0.01,693,0
693,3,-0.01,694,0
694,3,-0.01,695,0
695,3,-0.01,696,0
696,3,-0.01,697,0
697,3,-0.01,698,0
698,3,-0.01,699,0
699,3,-0.01,700,0
700,1,-0.01,740,0
740,1,-0.01,780,0
780,1,-0.01,820,0
820,1,-0.01,860,0
860,1,-0.01,900,0
900,1,-0.01,940,0
940,1,-0.01,980,0
980,1,-0.01,1020,0
1020,3,-0.01,1021,0
1021,3,-0.01,1022,0
1022,3,-0.01,1023,0
1023,3,-0.01,1024,0
1024,3,-0.01,1025,0
1025,3,-0.01,1026,0
1026,3,-0.01,1027,0
1027,3,-0.01,1028,0
1028,3,-0.01,1029,0
1029,3,-0.01,1030,0
1030,1,-0.01,1070,0
1070,1,-0.01,1110,0
1110,1,-0.01,1150,0
1150,1,-0.01,1190,0
1190,1,-0.01,1230,0
1230,1,-0.01,1270,0
1270,1,-0.01,1310,0
1310,1,-0.01,1350,0
1350,3,-0.01,1351,0
1351,3,-0.01,1352,0
1352,3,-0.01,1353,0
1353,3,-0.01,1354,0
1354,3,-0.01,1355,0
1355,3,-0.01,1356,0
1356,1,-0.01,1396,0
1396,1,-0.01,1436,0
1436,1,-0.01,1476,0
1476,1,-0.01,1516,0
1516,1,-0.01,1556,0
1556,1,-0.01,1596,0
1596,3,-0.01,1597,0
1597,3,-0.01,1598,0
1598,3,-0.01,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
696,3,-0.01,697,0
697,3,-0.01,698,0
698,3,-0.01,699,0
699,3,-0.01,700,0
700,1,-0.01,740,0
740,1,-0.01,780,0
780,1,-0.01,820,0
820,1,-0.01,860,0
860,1,-0.01,900,0
900,1,-0.01,940,0
940,1,-0.01,980,0
980,1,-0.01,1020,0
1020,3,-0.01,1021,0
1021,3,-0.01,1022,0
1022,3,-0.01,1023,0
1023,3,-0.01,1024,0
1024,3,-0.01,1025,0
1025,3,-0.01,1026,0
1026,3,-0.01,1027,0
1027,3,-0.01,1028,0
1028,3,-0.01,1029,0
1029,3,-0.01,1030,0
1030,1,-0.01,1070,0
1070,1,-0.01,1110,0
1110,1,-0.01,1150,0
1150,1,-0.01,1190,0
1190,1,-0.01,1230,0
1230,1,-0.01,1270,0
1270,1,-0.01,1310,0
1310,1,-0.01,1350,0
1350,3,-0.01,1351,0
1351,3,-0.01,1352,0
1352,3,-0.01,1353,0
1353,3,-0.01,1354,0
1354,3,-0.01,1355,0
1355,3,-0.01,1356,0
1356,1,-0.01,1396,0
1396,1,-0.01,1436,0
1436,1,-0.01,1476,0
1476,1,-0.01,1516,0
1516,1,-0.01,1556,0
1556,1,-0.01,1596,0
1596,3,-0.01,1597,0
1597,3,-0.01,1598,0
1598,3,-0.01,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
689,3,-0.01,690,0
690,3,-0.01,691,0
691,3,-0.01,692,0
692,3,-0.01,693,0
693,3,-0.01,694,0
694,3,-0.01,695,0
695,3,-0.01,696,0
696,3,-0.01,697,0
697,3,-0.01,698,0
698,3,-0.01,699,0
699,3,-0.01,700,0
700,1,-0.01,740,0
740,1,-0.01,780,0
780,1,-0.01,820,0
820,1,-0.01,860,0
860,1,-0.01,900,0
900,1,-0.01,940,0
940,1,-0.01,980,0
980,1,-0.01,1020,0
1020,3,-0.01,1021,0
1021,3,-0.01,1022,0
1022,3,-0.01,1023,0
1023,3,-0.01,1024,0
1024,3,-0.01,1025,0
1025,3,-0.01,1026,0
1026,3,-0.01,1027,0
1027,3,-0.01,1028,0
1028,3,-0.01,1029,0
1029,3,-0.01,1030,0
1030,1,-0.01,1070,0
1070,1,-0.01,1110,0
1110,1,-0.01,1150,0
1150,1,-0.01,1190,0
1190,1,-0.01,1230,0
1230,1,-0.01,1270,0
1270,1,-0.01,1310,0
1310,1,-0.01,1350,0
1350,3,-0.01,1351,0
1351,3,-0.01,1352,0
1352,3,-0.01,1353,0
1353,3,-0.01,1354,0
1354,3,-0.01,1355,0
1355,3,-0.01,1356,0
1356,1,-0.01,1396,0
1396,1,-0.01,1436,0
1436,1,-0.01,1476,0
1476,1,-0.01,1516,0
1516,1,-0.01,1556,0
1556,1,-0.01,1596,0
1596,3,-0.01,1597,0
1597,3,-0.01,1598,0
1598,3,-0.01,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
368,1,-0.01,408,0
408,1,-0.01,448,0
448,1,-0.01,488,0
488,1,-0.01,528,0
528,1,-0.01,568,0
568,1,-0.01,608,0
608,1,-0.01,648,0
648,1,-0.01,688,0
688,3,-0.01,689,0
689,3,-0.01,690,0
690,3,-0.01,691,0
691,3,-0.01,692,0
692,3,-0.01,693,0
693,3,-0.01,694,0
694,3,-0.01,695,0
695,3,-0.01,696,0
696,3,-0.01,697,0
697,3,-0.01,698,0
698,3,-0.01,699,0
699,3,-0.01,700,0
700,1,-0.01,740,0
740,1,-0.01,780,0
780,1,-0.01,820,0
820,1,-0.01,860,0
860,1,-0.01,900,0
900,1,-0.01,940,0
940,1,-0.01,980,0
980,1,-0.01,1020,0
1020,3,-0.01,1021,0
1021,3,-0.01,1022,0
1022,3,-0.01,1023,0
1023,3,-0.01,1024,0
1024,3,-0.01,1025,0
1025,3,-0.01,1026,0
1026,3,-0.01,1027,0
1027,3,-0.01,1028,0
1028,3,-0.01,1029,0
1029,3,-0.01,1030,0
1030,1,-0.01,1070,0
1070,1,-0.01,1110,0
1110,1,-0.01,1150,0
1150,1,-0.01,1190,0
1190,1,-0.01,1230,0
1230,1,-0.01,1270,0
1270,1,-0.01,1310,0
1310,1,-0.01,1350,0
1350,3,-0.01,1351,0
1351,3,-0.01,1352,0
1352,3,-0.01,1353,0
1353,3,-0.01,1354,0
1354,3,-0.01,1355,0
1355,3,-0.01,1356,0
1356,1,-0.01,1396,0
1396,1,-0.01,1436,0
1436,1,-0.01,1476,0
1476,1,-0.01,1516,0
1516,1,-0.01,1556,0
1556,1,-0.01,1596,0
1596,3,-0.01,1597,0
1597,3,-0.01,1598,0
1598,3,-0.01,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
1599,0,10.0,1599,0
